path,label,split
/Users/xuwei/Desktop/spring2025/CSCI467/CSCI467_deepfake/467_data/2/train-20250112T065955Z-001/train/real/5135.jpg,fake,train
/Users/xuwei/Desktop/spring2025/CSCI467/CSCI467_deepfake/467_data/2/train-20250112T065955Z-001/train/real/5121.jpg,fake,train
/Users/xuwei/Desktop/spring2025/CSCI467/CSCI467_deepfake/467_data/2/train-20250112T065955Z-001/train/real/5337.jpg,fake,train
/Users/xuwei/Desktop/spring2025/CSCI467/CSCI467_deepfake/467_data/2/train-20250112T065955Z-001/train/real/5323.jpg,fake,train
/Users/xuwei/Desktop/spring2025/CSCI467/CSCI467_deepfake/467_data/2/train-20250112T065955Z-001/train/real/5243.jpg,fake,train
/Users/xuwei/Desktop/spring2025/CSCI467/CSCI467_deepfake/467_data/2/train-20250112T065955Z-001/train/real/5257.jpg,fake,train
/Users/xuwei/Desktop/spring2025/CSCI467/CSCI467_deepfake/467_data/2/train-20250112T065955Z-001/train/real/5280.jpg,fake,train
/Users/xuwei/Desktop/spring2025/CSCI467/CSCI467_deepfake/467_data/2/train-20250112T065955Z-001/train/real/5294.jpg,fake,train
/Users/xuwei/Desktop/spring2025/CSCI467/CSCI467_deepfake/467_data/2/train-20250112T065955Z-001/train/real/5295.jpg,fake,train
/Users/xuwei/Desktop/spring2025/CSCI467/CSCI467_deepfake/467_data/2/train-20250112T065955Z-001/train/real/5281.jpg,fake,train
/Users/xuwei/Desktop/spring2025/CSCI467/CSCI467_deepfake/467_data/2/train-20250112T065955Z-001/train/real/5256.jpg,fake,train
/Users/xuwei/Desktop/spring2025/CSCI467/CSCI467_deepfake/467_data/2/train-20250112T065955Z-001/train/real/5242.jpg,fake,train
/Users/xuwei/Desktop/spring2025/CSCI467/CSCI467_deepfake/467_data/2/train-20250112T065955Z-001/train/real/5322.jpg,fake,train
/Users/xuwei/Desktop/spring2025/CSCI467/CSCI467_deepfake/467_data/2/train-20250112T065955Z-001/train/real/5336.jpg,fake,train
/Users/xuwei/Desktop/spring2025/CSCI467/CSCI467_deepfake/467_data/2/train-20250112T065955Z-001/train/real/5120.jpg,fake,train
/Users/xuwei/Desktop/spring2025/CSCI467/CSCI467_deepfake/467_data/2/train-20250112T065955Z-001/train/real/5134.jpg,fake,train
/Users/xuwei/Desktop/spring2025/CSCI467/CSCI467_deepfake/467_data/2/train-20250112T065955Z-001/train/real/5122.jpg,fake,train
/Users/xuwei/Desktop/spring2025/CSCI467/CSCI467_deepfake/467_data/2/train-20250112T065955Z-001/train/real/5136.jpg,fake,train
/Users/xuwei/Desktop/spring2025/CSCI467/CSCI467_deepfake/467_data/2/train-20250112T065955Z-001/train/real/5308.jpg,fake,train
/Users/xuwei/Desktop/spring2025/CSCI467/CSCI467_deepfake/467_data/2/train-20250112T065955Z-001/train/real/5320.jpg,fake,train
/Users/xuwei/Desktop/spring2025/CSCI467/CSCI467_deepfake/467_data/2/train-20250112T065955Z-001/train/real/5334.jpg,fake,train
/Users/xuwei/Desktop/spring2025/CSCI467/CSCI467_deepfake/467_data/2/train-20250112T065955Z-001/train/real/5268.jpg,fake,train
/Users/xuwei/Desktop/spring2025/CSCI467/CSCI467_deepfake/467_data/2/train-20250112T065955Z-001/train/real/5254.jpg,fake,train
